departamento,region,idc_2025,idc_2026,rank_2025,rank_2026,cambio_pos,instituciones_2025,instituciones_2026,infraestructura_2025,infraestructura_2026,tic_2025,tic_2026,sostenibilidad_2025,sostenibilidad_2026,salud_2025,salud_2026,edu_basica_2025,edu_basica_2026,edu_superior_2025,edu_superior_2026,entorno_negocios_2025,entorno_negocios_2026,mercado_laboral_2025,mercado_laboral_2026,sistema_financiero_2025,sistema_financiero_2026,tamano_mercado_2025,tamano_mercado_2026,sofisticacion_2025,sofisticacion_2026,innovacion_2025,innovacion_2026
"Bogotá, D.C.",Central,8.0392,7.956,1,1,0,8.3708,8.2371,8.1948,7.972,8.9533,8.8304,5.2481,5.391,8.2506,8.3095,8.1178,8.2709,7.568,6.9163,9.3238,9.7617,8.0846,8.3176,8.7773,8.9331,8.5704,8.4452,9.2132,8.9587,5.8365,5.0848
Antioquia,Eje cafetero y Antioquia,6.8033,6.9049,2,2,0,6.644,6.9009,5.289,5.1731,7.0861,7.3064,5.651,5.9536,8.0593,7.8781,7.0109,7.1785,5.8846,6.045,7.1164,7.5349,7.6101,7.7769,6.8221,7.0377,7.8786,7.808,8.6588,8.7731,4.7319,4.3971
Valle del Cauca,Pacífico,6.2906,6.4269,3,3,0,7.0066,7.3424,5.358,5.2977,5.9039,6.1675,4.9407,5.0941,7.9038,7.8771,6.2324,6.5087,5.3134,5.3754,7.1561,6.959,6.789,7.1823,4.5829,4.9213,7.2341,7.2112,9.6909,9.6106,3.6655,4.0028
Risaralda,Eje cafetero y Antioquia,6.2024,6.3548,5,4,1,6.5713,6.8644,4.6148,4.4064,6.9468,7.803,4.25,4.4714,7.7177,7.5123,7.3658,7.3713,5.1831,5.5195,6.2625,6.7624,7.4696,7.5926,4.8864,5.1829,6.0039,6.0604,8.9315,8.9697,4.4276,4.0957
Santander,Santanderes,6.2794,6.3197,4,5,-1,5.5654,5.8042,5.3437,4.96,6.1109,6.318,5.9656,6.0857,7.8773,7.8686,8.3597,8.4989,6.0718,6.1483,6.1646,6.0877,6.8486,6.9915,4.1803,4.4323,6.4438,6.4123,8.5777,9.0392,4.1225,3.5091
Atlántico,Caribe,6.0945,6.2231,7,6,1,5.9916,6.2683,5.7939,5.9592,6.0124,6.2597,3.5523,2.6998,7.7428,7.727,7.4686,7.4073,5.4768,5.7292,6.5755,7.9931,6.0901,6.4521,5.0755,5.3059,7.0391,6.9336,8.8932,8.8124,3.5165,3.3528
Cundinamarca,Central,6.1253,6.1368,6,7,-1,7.2215,7.2423,5.7126,5.4083,4.9768,5.4442,6.0389,5.8145,6.4667,6.3392,7.7302,7.7619,4.729,5.1638,6.5403,6.279,7.7662,7.7856,2.8963,3.0863,7.3321,7.2554,9.3515,9.1532,2.8666,3.0448
Caldas,Eje cafetero y Antioquia,6.0383,6.021,8,8,0,6.0712,6.2628,5.5652,5.423,6.8573,7.5125,4.4166,4.5245,7.4557,7.4682,6.8289,6.8968,5.7029,5.213,5.364,5.6957,7.5417,7.5559,4.0624,4.2091,5.9536,5.9732,8.697,7.9028,3.9813,3.6361
Quindío,Eje cafetero y Antioquia,5.8548,5.9924,9,9,0,6.8187,6.5288,5.5965,5.3959,5.695,6.4856,4.0064,4.2689,7.4332,7.6855,8.2818,8.434,5.5094,5.4864,5.7552,6.1747,6.8503,6.7859,4.3642,4.5914,5.183,5.1951,5.5513,5.7171,5.0678,5.1512
Boyacá,Central,5.759,5.7898,10,10,0,5.537,5.7554,6.9541,6.6535,6.3181,6.4373,5.5819,5.6052,7.0901,7.3513,8.7748,8.7287,5.4901,5.4115,4.809,4.6012,6.0965,6.2279,3.6766,3.9964,5.7822,5.7906,5.6603,5.5867,3.0964,3.122
Bolívar,Caribe,5.4522,5.6051,12,11,1,5.243,5.986,5.0593,5.1355,4.4518,4.605,5.2092,5.2156,6.7115,6.5903,6.4808,6.5282,4.6313,4.876,5.3695,6.3615,5.2739,5.3875,3.2328,3.3428,7.356,7.1969,9.3018,9.2418,2.5578,2.3998
Tolima,Central,5.5763,5.543,11,12,-1,5.1601,5.405,5.3534,5.3059,5.5643,5.9767,5.5494,5.5243,7.2104,7.0714,7.5495,7.6705,4.4952,4.7487,5.1885,5.0708,6.0706,6.2443,4.0232,4.375,5.3173,5.445,7.7611,6.429,3.2488,2.7922
